,ID,Lat,Lng,District,County,Fwy,Lanes,Type,Direction,ID2
0,317802,38.389811,-121.479587,11,Sacramento,I5-N,2,Mainline,N,0
1,312134,38.412564,-121.484319,11,Sacramento,I5-N,2,Mainline,N,1
2,312133,38.42863,-121.487657,11,Sacramento,I5-N,3,Mainline,N,2
3,313159,38.450246,-121.492176,11,Sacramento,I5-N,3,Mainline,N,3
4,319767,38.465539,-121.49645,11,Sacramento,I5-N,3,Mainline,N,4
5,319780,38.468309,-121.49754,11,Sacramento,I5-N,4,Mainline,N,5
6,317830,38.472735,-121.500798,11,Sacramento,I5-N,3,Mainline,N,6
7,314876,38.480033,-121.509587,11,Sacramento,I5-N,3,Mainline,N,7
8,314886,38.482681,-121.511079,11,Sacramento,I5-N,3,Mainline,N,8
9,314909,38.49944,-121.517291,11,Sacramento,I5-N,4,Mainline,N,9
10,314780,38.509594,-121.521834,11,Sacramento,I5-N,4,Mainline,N,10
11,314936,38.526236,-121.520796,11,Sacramento,I5-N,4,Mainline,N,11
12,314792,38.532946,-121.517293,11,Sacramento,I5-N,4,Mainline,N,12
13,314848,38.551357,-121.510893,11,Sacramento,I5-N,4,Mainline,N,13
14,316074,38.560087,-121.514183,11,Sacramento,I5-N,2,Mainline,N,14
15,316073,38.560059,-121.514173,11,Sacramento,I5-N,2,Mainline,N,15
16,314808,38.569015,-121.510075,11,Sacramento,I5-N,3,Mainline,N,16
17,314955,38.577728,-121.507177,11,Sacramento,I5-N,4,Mainline,N,17
18,314982,38.581573,-121.503957,11,Sacramento,I5-N,4,Mainline,N,18
19,315017,38.586151,-121.502962,11,Sacramento,I5-N,4,Mainline,N,19
20,314821,38.591476,-121.504306,11,Sacramento,I5-N,5,Mainline,N,20
21,318632,38.595862,-121.503843,11,Sacramento,I5-N,4,Mainline,N,21
22,319306,38.595703,-121.503861,11,Sacramento,I5-N,4,Mainline,N,22
23,315054,38.607815,-121.508535,11,Sacramento,I5-N,4,Mainline,N,23
24,315969,38.641662,-121.525228,11,Sacramento,I5-N,4,Mainline,N,24
25,315927,38.64357,-121.526264,11,Sacramento,I5-N,4,Mainline,N,25
26,317843,38.664367,-121.53762,11,Sacramento,I5-N,3,Mainline,N,26
27,317806,38.389793,-121.479964,11,Sacramento,I5-S,2,Mainline,S,27
28,312132,38.409697,-121.484102,11,Sacramento,I5-S,2,Mainline,S,28
29,315060,38.42777,-121.487872,11,Sacramento,I5-S,3,Mainline,S,29
30,314652,38.450182,-121.492562,11,Sacramento,I5-S,3,Mainline,S,30
31,319805,38.465442,-121.496833,11,Sacramento,I5-S,4,Mainline,S,31
32,319793,38.467662,-121.497652,7,Sacramento,I5-S,3,Mainline,S,32
33,317835,38.472565,-121.501105,7,Sacramento,I5-S,3,Mainline,S,33
34,314877,38.480346,-121.510151,7,Sacramento,I5-S,3,Mainline,S,34
35,318599,38.499417,-121.517557,7,Sacramento,I5-S,4,Mainline,S,35
36,314786,38.509537,-121.522113,7,Sacramento,I5-S,4,Mainline,S,36
37,318626,38.526291,-121.52104,7,Sacramento,I5-S,4,Mainline,S,37
38,314799,38.533005,-121.517534,7,Sacramento,I5-S,4,Mainline,S,38
39,314853,38.551388,-121.511207,7,Sacramento,I5-S,4,Mainline,S,39
40,318484,38.576358,-121.508129,8,Sacramento,I5-S,3,Mainline,S,40
41,318674,38.581105,-121.504583,8,Sacramento,I5-S,5,Mainline,S,41
42,314828,38.591481,-121.50463,12,Sacramento,I5-S,5,Mainline,S,42
43,315030,38.595858,-121.50416,12,Sacramento,I5-S,4,Mainline,S,43
44,319314,38.597128,-121.504128,12,Sacramento,I5-S,4,Mainline,S,44
45,315042,38.606772,-121.508307,4,Sacramento,I5-S,4,Mainline,S,45
46,314994,38.613784,-121.511987,4,Sacramento,I5-S,5,Mainline,S,46
47,315006,38.615328,-121.512794,4,Sacramento,I5-S,5,Mainline,S,47
48,318249,38.630057,-121.519629,4,Sacramento,I5-S,4,Mainline,S,48
49,318259,38.631037,-121.519694,4,Sacramento,I5-S,3,Mainline,S,49
50,315938,38.642112,-121.525828,4,Sacramento,I5-S,4,Mainline,S,50
51,315955,38.644101,-121.526913,3,Sacramento,I5-S,3,Mainline,S,51
52,318721,38.655569,-121.533158,3,Sacramento,I5-S,4,Mainline,S,52
53,318711,38.656787,-121.533818,3,Sacramento,I5-S,3,Mainline,S,53
54,317842,38.664276,-121.53788,3,Sacramento,I5-S,2,Mainline,S,54
55,313824,38.575189,-121.55938,3,Yolo,US50-E,4,Mainline,E,55
56,318383,38.574938,-121.546262,3,Yolo,US50-E,4,Mainline,E,56
57,318451,38.574963,-121.537403,3,Yolo,US50-E,5,Mainline,E,57
58,313840,38.576694,-121.52808,3,Yolo,US50-E,3,Mainline,E,58
59,311974,38.563563,-121.493321,3,Sacramento,US50-E,5,Mainline,E,59
60,312139,38.562532,-121.48956,3,Sacramento,US50-E,5,Mainline,E,60
61,318282,38.559773,-121.479137,3,Sacramento,US50-E,4,Mainline,E,61
62,312098,38.558884,-121.475138,3,Sacramento,US50-E,4,Mainline,E,62
63,313728,38.560792,-121.460789,3,Sacramento,US50-E,5,Mainline,E,63
